Keyword Phrase,"Category (R for relevant, D for design specific, I for irrelevant and B for branded, S for Spanish, O for Outlier)",ABA Total Click Share,ABA Total Conv. Share,Keyword Sales,Cerebro IQ Score,Relevancy,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Title Density,Organic,Sponsored Product,Amazon Recommended,Amazon Choice,Highly Rated,Sponsored Brand Header,Sponsored Brand Video,Top Rated From Our Brand,Trending Now,Sponsored Rank (avg),Sponsored Rank (count),Amazon Recommended Rank (avg),Amazon Recommended Rank (count),B00O64QJOC,B08PH9Y6QS,B08KHD615K,B0D4LG7CRK,B0CSXXWMBC,B0C88J6M4X,B08543W8SH,B0DF1W28C5,B0F5PLRJ3Q,B0FC21BN9V
changing pad,R,28.9,15.2,589,2035,5,81406,-8,0.72,0.45,1.02,253,40000,135,42,1,1,1,0,0,1,1,0,0,15,3,20,9,2,6,9,15,15,10,4,22,8,16
baby changing pad,R,30.5,16.6,530,4598,6,32188,-3,0.76,0.49,1.03,272,7000,66,10,1,1,1,0,0,1,1,0,0,8,7,115,8,2,4,7,19,19,9,5,13,15,6
keekaroo peanut changing pad,B,87.2,83.8,214,63325,2,18491,-10,0.57,0.49,0.59,198,292,46,0,1,1,1,0,0,0,1,0,0,10,4,276,3,26,81,19,85,85,30,70,7,12,4
diaper changing pad,R,24.9,15.8,433,3312,5,16559,-11,0.63,0.4,0.94,221,5000,48,14,1,1,1,0,0,1,1,0,0,22,5,70,10,1,2,14,52,52,13,3,7,4,30
skip hop changing pad,B,81.4,45.6,144,36186,4,15596,2,0.55,0.32,0.8,345,431,43,0,1,1,1,0,0,0,1,0,0,23,5,272,3,18,48,35,5,5,37,38,8,22,3
changing pad for dresser,D,30.7,17.4,124,8469,8,8469,-9,0.7,0.48,0.96,229,1000,39,15,1,1,0,0,0,1,1,0,0,28,7,0,0,1,3,4,12,12,5,6,8,7,2
wipeable changing pad,I/D,42.4,25.3,60,11786,4,8462,-12,0.64,0.42,0.91,295,718,36,4,1,1,1,0,0,1,0,0,0,10,5,135,7,7,48,55,46,46,59,21,2,6,1
changing table pads,D,35.2,25.6,228,1326,5,7958,6,0.83,0.53,1.17,293,6000,34,1,1,1,0,0,0,1,1,0,0,15,7,0,0,7,1,3,19,19,8,2,33,13,24
cambiadores de pañales para bebes,R,24.6,20,35,15543,2,6839,-17,0.77,0.51,1,274,440,32,0,1,1,1,0,0,1,1,0,0,7,4,186,9,71,1,21,48,48,53,12,5,29,16
changing table pad,R,37.6,30.6,152,891,6,5348,8,0.78,0.52,1.07,256,6000,33,6,1,1,1,0,0,1,1,0,0,14,7,156,9,3,1,5,12,12,4,2,11,6,18
changing mat,D,32.5,22,143,535,1,5346,-3,0.68,0.43,0.84,344,10000,38,22,1,1,1,0,0,1,1,0,0,27,6,63,10,10,19,34,54,54,20,2,13,31,56
diaper changing station,,29,12.9,38,2413,1,4825,-19,0.95,0.43,1.59,202,2000,36,19,1,1,1,0,0,0,0,0,0,20,1,182,4,108,53,6,258,258,198,26,36,42,171
keekaroo changing pad,,81.1,65.2,29,11519,1,4619,-,0.62,0.53,0.86,245,401,30,0,1,1,1,0,0,1,1,0,0,10,5,272,3,21,49,43,30,30,36,46,13,28,6
bumbo changing pad,,85.5,45.5,10,11718,3,4617,14,0.74,0.6,1.18,223,394,30,0,1,1,1,0,0,0,1,0,0,8,5,260,4,16,27,19,30,30,22,29,5,9,4
baby changing mat,D,26.7,12.9,113,1422,4,4267,-11,0.74,0.4,0.87,285,3000,32,8,1,1,1,0,0,1,1,0,0,13,6,68,10,7,22,21,15,15,27,4,5,8,44
diaper changing mat,D,31.5,25,122,2033,3,4065,-2,0.77,0.44,0.94,219,2000,32,9,1,1,1,0,0,1,1,0,0,23,4,131,10,9,44,38,131,131,31,3,19,8,174
baby changing table dresser,,24.2,,11,4056,0,4056,-11,0.72,0.46,0.91,410,1000,31,5,1,1,1,0,0,0,1,0,0,34,1,196,5,197,125,40,136,136,189,90,14,86,175
cambiador de bebe,,27.7,,3,1135,3,3404,-5,0.6,0.49,0.99,265,3000,28,0,1,1,1,0,0,1,1,0,0,16,5,175,7,55,2,14,18,18,38,12,3,15,7
peanut changing pad,,69.9,44.5,11,9326,2,3404,-8,0.63,0.43,0.91,230,365,29,1,1,1,1,0,0,1,1,0,0,9,5,262,3,17,78,29,28,28,38,53,8,21,2
changing table topper,,31.8,11.1,41,9542,5,3397,-1,0.65,0.46,0.95,269,356,31,8,1,1,1,0,0,1,1,0,0,15,7,139,6,11,8,3,18,18,1,4,6,13,25
waterproof changing pad,,31.5,27.8,52,402,4,3213,-12,0.82,0.49,0.92,345,8000,30,6,1,1,1,0,0,1,1,0,0,19,5,66,10,2,21,76,53,53,26,8,5,3,14
keekaroo,B,80.4,80,17,21504,1,2946,-1,0.49,0.37,0.54,191,137,34,18,1,1,0,0,0,1,1,0,0,4,4,0,0,98,-,40,36,36,68,-,21,-,8
jool baby changing pad,,84.1,40.4,47,6634,5,2395,-16,0.52,0.48,0.84,258,361,27,1,1,1,1,0,0,1,1,0,0,11,6,103,2,15,11,1,16,16,9,75,4,8,5
keekaroo peanut changer,,92.8,93.8,20,33690,2,2392,-1,0.35,0.3,0.62,88,71,28,2,1,1,0,0,0,0,1,0,0,10,2,0,0,20,31,12,53,53,22,-,8,-,9
munchkin changing pad,,83.9,66.7,50,4928,4,2390,-19,0.67,0.51,1.09,330,485,27,0,1,1,1,0,0,0,1,0,0,17,7,291,2,1,7,12,19,19,14,4,9,17,37
changing table topper for dresser,,37.5,11.1,12,7604,7,2038,-12,0.68,0.51,0.96,303,268,28,3,1,1,0,0,0,1,1,0,0,15,7,0,0,20,26,5,6,6,7,9,4,-,8
changing pads,,22.9,22,73,45,2,1810,-10,1.18,0.85,1.56,366,40000,32,16,1,1,0,0,0,1,1,0,0,27,6,0,0,4,10,25,62,62,18,5,63,42,45
changing station,,24.7,7.1,7,174,0,1738,-12,1.04,0.46,1.5,230,10000,36,29,1,1,1,0,0,0,0,0,0,12,1,102,1,101,102,12,97,97,30,115,91,151,101
changing pad cover waterproof,,37,12.5,45,1736,0,1736,-14,0.6,0.43,0.85,339,1000,27,3,1,1,1,0,0,1,0,0,0,37,2,86,7,51,57,28,55,55,54,14,24,56,73
cambiador de pañales para bebes,,19.1,,11,3738,3,1585,-9,0.78,0.43,1.18,324,424,26,0,1,1,1,0,0,1,1,0,0,6,6,186,6,45,3,14,47,47,34,2,7,81,41
evolur changing pad,,90.9,66.7,9,5192,2,1355,-13,0.64,0.54,0.79,210,261,26,0,1,1,1,0,0,1,1,0,0,14,5,205,3,99,119,34,18,18,7,46,11,13,5
changing pad wipeable,,35.2,27.3,11,1594,4,1320,-10,0.74,0.59,0.96,245,828,26,1,1,1,1,0,0,0,1,0,0,10,5,112,2,6,43,36,35,35,41,21,1,4,2
hatch changing pad,,84.1,80,6,4620,2,1266,-14,0.56,0.55,0.73,186,274,26,0,1,1,1,0,0,0,1,0,0,7,4,212,2,9,50,44,21,21,25,42,14,35,6
baby diaper changing pad,,19.8,22.7,25,317,4,1266,-22,0.77,0.5,0.97,290,4000,28,6,1,1,1,0,0,1,1,0,0,15,7,53,10,8,2,24,43,43,6,4,15,12,67
delta changing table,,67.6,44.4,7,2836,1,1262,-11,0.73,0.46,0.92,213,445,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,139,228,122,161,161,152,6,217,-,-
waterproof changing pad for baby,,36.7,30.4,9,595,4,1189,39,0.88,0.66,1.1,194,2000,26,1,1,1,0,0,0,1,1,0,0,17,3,0,0,2,47,61,32,32,23,11,6,5,1
baby changing pad for dresser,,26,7.7,11,1189,10,1189,-20,0.6,0.42,0.9,265,1000,27,4,1,1,0,0,0,1,1,0,0,28,7,0,0,2,1,3,5,5,8,6,4,7,9
baby changing table pad,,38.4,32.3,5,572,5,1144,4,0.66,0.45,0.98,241,2000,26,0,1,1,1,0,0,1,1,0,0,8,7,90,9,13,1,2,11,11,8,3,15,7,18
diaper change pad,,23.4,14,36,229,3,1144,-13,0.75,0.5,1.02,269,5000,26,0,1,1,1,0,0,1,1,0,0,14,5,124,9,5,7,15,32,32,10,1,11,12,31
kekaroobaby peanut changer,B/I,81.2,66.7,11,14667,2,1144,-7,0.56,0.35,0.61,78,78,26,0,1,1,0,0,0,0,1,0,0,10,1,0,0,14,-,18,20,20,30,-,7,-,5
blissful diary,B,40.5,18.8,11,3915,2,1057,-10,0.5,0.35,0.65,141,270,28,9,1,1,1,0,0,0,0,0,0,1,1,23,3,0,-,-,20,20,-,-,9,-,-
changing pad waterproof,,33.8,14.3,11,112,6,895,4,0.82,0.58,1.05,188,8000,12,0,1,1,1,0,0,0,1,0,0,12,4,205,2,1,27,32,17,17,6,4,5,2,3
cambiador,,23.5,,-,3243,3,895,-12,0.77,0.62,1.28,193,276,12,0,1,1,1,0,0,0,1,0,0,3,3,145,4,38,7,11,17,17,16,14,4,29,8
graco changing pad,,89.2,76.9,16,1320,6,834,4,0.62,0.57,0.67,144,632,11,0,1,1,0,0,0,0,1,0,0,5,5,0,0,4,8,3,18,18,6,2,10,9,20
diaper changing table covers & pads,,30.7,,14,832,4,832,25,1.23,0.84,1.49,230,1000,11,0,1,1,0,0,0,1,1,0,0,29,3,0,0,1,21,3,38,38,7,4,18,41,36
wipe clean changing pad,,57.8,66.7,13,2195,3,832,-5,0.76,0.49,1.1,234,379,11,0,1,1,1,0,0,0,1,0,0,6,6,114,5,7,59,16,28,28,20,14,6,13,1
wipeable changing pad cover,,36.8,7.1,9,1371,1,832,-22,0.6,0.45,0.9,185,607,11,0,1,1,1,0,0,0,0,0,0,14,2,139,4,16,102,36,104,104,48,41,6,11,31
small changing pad,,26.2,8.3,16,21,0,832,-,0.8,0.53,1.01,156,40000,11,1,1,1,1,0,0,0,1,0,0,22,5,128,8,38,12,15,11,11,19,10,23,37,17
diaper pad changing mat,D,28.4,11.5,34,830,2,830,-13,0.8,0.55,1.05,115,1000,11,0,1,1,1,0,0,0,1,0,0,14,3,184,5,5,24,27,48,48,14,2,18,19,43
changing tables,,28.4,33.3,1,166,0,830,-,0.9,0.53,1.16,196,5000,11,2,1,0,0,0,0,1,0,0,0,0,0,0,0,53,51,68,63,63,80,11,57,72,124
changing table pad cover,,31.1,12,12,830,0,830,-37,0.67,0.45,0.95,210,1000,11,5,1,0,1,0,0,0,1,0,0,0,0,42,6,93,218,22,10,10,37,20,223,236,-
baby cribs 4 in 1 convertible with changing table,,42.3,37.5,1,2049,1,760,2,0.56,0.45,0.88,184,371,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,15,-,-
changing table mat,D,34.7,33.3,10,234,6,703,8,0.84,0.59,1.06,179,3000,10,0,1,1,1,0,0,1,1,0,0,12,7,167,9,4,2,7,15,15,16,1,8,5,22
silicone changing pad for baby,,41.2,28.6,2,1435,2,703,24,0.9,0.67,1.03,90,490,10,0,1,1,0,0,0,1,1,0,0,7,4,0,0,39,38,36,22,22,13,35,2,11,1
baby changing pads,,28.2,28.1,20,88,0,703,-9,1.21,0.94,1.42,203,8000,10,0,1,1,0,0,0,1,1,0,0,27,3,0,0,42,11,16,38,38,15,12,28,57,36
waterproof baby changing pad,,19.5,7.1,11,352,3,703,-,0.89,0.58,1.12,154,2000,10,4,1,1,1,0,0,1,1,0,0,13,4,109,8,3,43,42,31,31,14,11,2,6,26
baby changer pad,,36.6,20,7,912,7,701,-6,0.64,0.49,0.98,176,769,10,0,1,1,1,0,0,1,1,0,0,26,6,79,9,6,2,3,30,30,4,5,9,22,8
changing table mattress,D,50.5,71.4,11,701,6,701,-4,0.84,0.6,0.98,208,1000,10,0,1,1,1,0,0,0,1,0,0,10,5,270,4,17,1,3,7,7,4,2,13,14,59
toddler changing pad,,34.4,35.3,2,234,5,701,-9,0.79,0.53,1,133,3000,10,0,1,1,1,0,0,1,1,0,0,16,3,82,10,3,12,14,11,11,7,2,1,6,44
cambiador para bebe,,31,,1,1646,4,701,2,0.74,0.46,1.06,165,426,10,0,1,1,1,0,0,1,1,0,0,5,1,219,5,34,9,4,12,12,46,1,7,53,15
crib and changing table set,,34,,-,843,2,701,7,0.62,0.39,0.85,113,832,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,196,134,282,282,174,8,215,-,-
upseat changing pad,,90.3,66.7,3,2118,1,701,14,0.49,0.38,0.69,88,331,10,0,1,1,0,0,0,0,1,0,0,5,3,0,0,13,38,19,21,21,12,30,10,25,2
ubbi changing pad,,91.2,23.1,17,1673,1,701,12,0.73,0.52,0.93,119,419,10,0,1,1,0,0,0,0,1,0,0,21,5,0,0,18,103,50,41,41,49,45,9,17,13
